AccusedID,CaseID,AccusedName,Gender,Age,Address,Occupation,ArrestStatus,CriminalHistory,Mobile,Email,Nationality,IDProof,ArrestDate,BailStatus,CustodyStatus,FingerprintID,Photograph,Remarks
ACC00001,KSP/DIS001/2026/00001,Karthik Rao,Male,22,Resident of Bengaluru Urban Outer Ring Road,Unemployed / Daily Wager,Under Investigation,None,9876410001,accused.1@email.com,Indian,Aadhaar-5001-2001,2026-02-02,Under Judicial Review,Not in Custody,FP-2026-1,accused_1.jpg,Accused in Murder at Bengaluru Urban Town PS
ACC00002,KSP/DIS002/2026/00002,Anil Sharma,Male,23,Resident of Bengaluru Rural Outer Ring Road,Unemployed / Daily Wager,Arrested,None,9876410002,accused.2@email.com,Indian,Aadhaar-5002-2002,2026-03-03,Bail Rejected,Judicial Custody,FP-2026-2,accused_2.jpg,Accused in Attempt to Murder at Bengaluru Rural Central PS
ACC00003,KSP/DIS003/2026/00003,Sunil Nair,Male,24,Resident of Ramanagara Outer Ring Road,Unemployed / Daily Wager,Under Investigation,None,9876410003,accused.3@email.com,Indian,Aadhaar-5003-2003,2026-04-04,Under Judicial Review,Not in Custody,FP-2026-3,accused_3.jpg,Accused in Assault & Grievous Hurt at Ramanagara Cyber Crime PS
ACC00004,KSP/DIS004/2026/00004,Praveen Verma,Male,25,Resident of Chikkaballapura Outer Ring Road,Unemployed / Daily Wager,Arrested,Yes (Repeat Offender),9876410004,accused.4@email.com,Indian,Aadhaar-5004-2004,2026-05-05,Bail Rejected,Judicial Custody,FP-2026-4,accused_4.jpg,Accused in Kidnapping at Chikkaballapura Traffic PS
ACC00005,KSP/DIS005/2026/00005,Ganesh Reddy,Male,26,Resident of Kolar Outer Ring Road,Unemployed / Daily Wager,Under Investigation,None,9876410005,accused.5@email.com,Indian,Aadhaar-5005-2005,2026-06-06,Under Judicial Review,Not in Custody,FP-2026-5,accused_5.jpg,Accused in Missing Person at Kolar Town PS
ACC00006,KSP/DIS006/2026/00006,Nitin Khan,Male,27,Resident of Tumakuru Outer Ring Road,Unemployed / Daily Wager,Arrested,None,9876410006,accused.6@email.com,Indian,Aadhaar-5006-2006,2026-07-07,Bail Rejected,Judicial Custody,FP-2026-6,accused_6.jpg,Accused in Theft at Tumakuru Central PS
ACC00007,KSP/DIS007/2026/00007,Niranjan Mehta,Male,28,Resident of Shivamogga Outer Ring Road,Unemployed / Daily Wager,Under Investigation,None,9876410007,accused.7@email.com,Indian,Aadhaar-5007-2007,2026-08-08,Under Judicial Review,Not in Custody,FP-2026-7,accused_7.jpg,Accused in Vehicle Theft at Shivamogga Cyber Crime PS
ACC00008,KSP/DIS008/2026/00008,Vikas Kulkarni,Male,29,Resident of Chitradurga Outer Ring Road,Unemployed / Daily Wager,Arrested,Yes (Repeat Offender),9876410008,accused.8@email.com,Indian,Aadhaar-5008-2008,2026-09-09,Bail Rejected,Judicial Custody,FP-2026-8,accused_8.jpg,Accused in Burglary at Chitradurga Traffic PS
ACC00009,KSP/DIS009/2026/00009,Rahul Hegde,Male,30,Resident of Davanagere Outer Ring Road,Unemployed / Daily Wager,Under Investigation,None,9876410009,accused.9@email.com,Indian,Aadhaar-5009-2009,2026-10-10,Under Judicial Review,Not in Custody,FP-2026-9,accused_9.jpg,Accused in Robbery at Davanagere Town PS
ACC00010,KSP/DIS010/2026/00010,Imran Shetty,Male,31,Resident of Mysuru Outer Ring Road,Unemployed / Daily Wager,Arrested,None,9876410010,accused.10@email.com,Indian,Aadhaar-5010-2010,2026-11-11,Bail Rejected,Judicial Custody,FP-2026-10,accused_10.jpg,Accused in Chain Snatching at Mysuru Central PS
