ComplaintID,CaseID,ComplaintDate,ComplainantName,ContactNumber,ComplaintText,PoliceStation,Status
CMP00001,KSP/DIS001/2026/00001,2026-02-02,Suresh Patil,9876110001,"Murder reported at Bengaluru Urban Town PS, Bengaluru Urban. Brief: Premeditated homicide investigation. Incident occurred near Bengaluru Urban Town PS, Bengaluru Urban, Karnataka.",Bengaluru Urban Town PS,Assigned to IO
CMP00002,KSP/DIS002/2026/00002,2026-03-03,Vijay Kumar,9876110002,"Attempt to Murder reported at Bengaluru Rural Central PS, Bengaluru Rural. Brief: Violent assault with deadly weapon. Incident occurred near Bengaluru Rural Central PS, Bengaluru Rural, Karnataka.",Bengaluru Rural Central PS,Assigned to IO
CMP00003,KSP/DIS003/2026/00003,2026-04-04,Pooja Rao,9876110003,"Assault & Grievous Hurt reported at Ramanagara Cyber Crime PS, Ramanagara. Brief: Physical injury caused during gang/group clash. Incident occurred near Ramanagara Cyber Crime PS, Ramanagara, Karnataka.",Ramanagara Cyber Crime PS,Assigned to IO
CMP00004,KSP/DIS004/2026/00004,2026-05-05,Karthik Sharma,9876110004,"Kidnapping reported at Chikkaballapura Traffic PS, Chikkaballapura. Brief: Abduction for ransom or coercion. Incident occurred near Chikkaballapura Traffic PS, Chikkaballapura, Karnataka.",Chikkaballapura Traffic PS,Assigned to IO
CMP00005,KSP/DIS005/2026/00005,2026-06-06,Anil Nair,9876110005,"Missing Person reported at Kolar Town PS, Kolar. Brief: Trace & locate missing citizen petition. Incident occurred near Kolar Town PS, Kolar, Karnataka.",Kolar Town PS,Assigned to IO
CMP00006,KSP/DIS006/2026/00006,2026-07-07,Sunita Verma,9876110006,"Theft reported at Tumakuru Central PS, Tumakuru. Brief: Larceny of personal or commercial goods. Incident occurred near Tumakuru Central PS, Tumakuru, Karnataka.",Tumakuru Central PS,Assigned to IO
CMP00007,KSP/DIS007/2026/00007,2026-08-08,Praveen Reddy,9876110007,"Vehicle Theft reported at Shivamogga Cyber Crime PS, Shivamogga. Brief: Stolen motor vehicle or two-wheeler. Incident occurred near Shivamogga Cyber Crime PS, Shivamogga, Karnataka.",Shivamogga Cyber Crime PS,Assigned to IO
CMP00008,KSP/DIS008/2026/00008,2026-09-09,Ganesh Khan,9876110008,"Burglary reported at Chitradurga Traffic PS, Chitradurga. Brief: Overnight trespass and property theft. Incident occurred near Chitradurga Traffic PS, Chitradurga, Karnataka.",Chitradurga Traffic PS,Assigned to IO
CMP00009,KSP/DIS009/2026/00009,2026-10-10,Meena Mehta,9876110009,"Robbery reported at Davanagere Town PS, Davanagere. Brief: Armed robbery using force or coercion. Incident occurred near Davanagere Town PS, Davanagere, Karnataka.",Davanagere Town PS,Assigned to IO
CMP00010,KSP/DIS010/2026/00010,2026-11-11,Niranjan Kulkarni,9876110010,"Chain Snatching reported at Mysuru Central PS, Mysuru. Brief: Snatching jewelry from pedestrians on public road. Incident occurred near Mysuru Central PS, Mysuru, Karnataka.",Mysuru Central PS,Assigned to IO
CMP00011,KSP/DIS011/2026/00011,2026-12-12,Vikas Hegde,9876110011,"Cyber Crime reported at Mandya Cyber Crime PS, Mandya. Brief: Hacking, malware infection, IT Act violation. Incident occurred near Mandya Cyber Crime PS, Mandya, Karnataka.",Mandya Cyber Crime PS,Assigned to IO
CMP00012,KSP/DIS012/2026/00012,2026-01-13,Bhavya Shetty,9876110012,"UPI Fraud reported at Hassan Traffic PS, Hassan. Brief: Fake QR code or deceptive payment request. Incident occurred near Hassan Traffic PS, Hassan, Karnataka.",Hassan Traffic PS,Assigned to IO
CMP00013,KSP/DIS013/2026/00013,2026-02-14,Imran Bhat,9876110013,"Online Banking Fraud reported at Chamarajanagara Town PS, Chamarajanagara. Brief: Phishing link leading to net banking unauthorized debit. Incident occurred near Chamarajanagara Town PS, Chamarajanagara, Karnataka.",Chamarajanagara Town PS,Assigned to IO
CMP00014,KSP/DIS014/2026/00014,2026-03-15,Ajay Deshmukh,9876110014,"Identity Theft reported at Kodagu Central PS, Kodagu. Brief: SIM swap or stolen credential impersonation. Incident occurred near Kodagu Central PS, Kodagu, Karnataka.",Kodagu Central PS,Assigned to IO
