VictimID,CaseID,VictimName,Gender,Age,Mobile,Address,Occupation,InjuryType,Statement,Email,InjurySeverity,MedicalReport,HospitalName,VictimStatus,EmergencyContact,IDProof
VIC00001,KSP/DIS001/2026/00001,Suresh Patil,Male,21,9876110001,"Bengaluru Urban Town PS Sector 2, Bengaluru Urban",Business Owner,Fatal Injury,Statement of Suresh Patil recorded regarding Murder.,victim.1@ksp-citizen.in,Critical,MR1,Bengaluru Urban District General Hospital,Deceased,9876210001,Aadhaar-4001-1001
VIC00002,KSP/DIS002/2026/00002,Vijay Kumar,Male,22,9876110002,"Bengaluru Rural Central PS Sector 3, Bengaluru Rural",IT Software Engineer,Fatal Injury,Statement of Vijay Kumar recorded regarding Attempt to Murder.,victim.2@ksp-citizen.in,Critical,MR2,Bengaluru Rural District General Hospital,Deceased,9876210002,Aadhaar-4002-1002
VIC00003,KSP/DIS003/2026/00003,Pooja Rao,Female,23,9876110003,"Ramanagara Cyber Crime PS Sector 4, Ramanagara",Business Owner,Minor Contusion,Statement of Pooja Rao recorded regarding Assault & Grievous Hurt.,victim.3@ksp-citizen.in,Mild,MR3,Ramanagara District General Hospital,Safe & Recovered,9876210003,Aadhaar-4003-1003
VIC00004,KSP/DIS004/2026/00004,Karthik Sharma,Male,24,9876110004,"Chikkaballapura Traffic PS Sector 5, Chikkaballapura",IT Software Engineer,Minor Contusion,Statement of Karthik Sharma recorded regarding Kidnapping.,victim.4@ksp-citizen.in,Mild,MR4,Chikkaballapura District General Hospital,Safe & Recovered,9876210004,Aadhaar-4004-1004
VIC00005,KSP/DIS005/2026/00005,Anil Nair,Male,25,9876110005,"Kolar Town PS Sector 1, Kolar",Business Owner,Minor Contusion,Statement of Anil Nair recorded regarding Missing Person.,victim.5@ksp-citizen.in,Mild,MR5,Kolar District General Hospital,Safe & Recovered,9876210005,Aadhaar-4005-1005
VIC00006,KSP/DIS006/2026/00006,Sunita Verma,Female,26,9876110006,"Tumakuru Central PS Sector 2, Tumakuru",IT Software Engineer,Minor Contusion,Statement of Sunita Verma recorded regarding Theft.,victim.6@ksp-citizen.in,Mild,MR6,Tumakuru District General Hospital,Safe & Recovered,9876210006,Aadhaar-4006-1006
VIC00007,KSP/DIS007/2026/00007,Praveen Reddy,Male,27,9876110007,"Shivamogga Cyber Crime PS Sector 3, Shivamogga",Business Owner,Minor Contusion,Statement of Praveen Reddy recorded regarding Vehicle Theft.,victim.7@ksp-citizen.in,Mild,MR7,Shivamogga District General Hospital,Safe & Recovered,9876210007,Aadhaar-4007-1007
VIC00008,KSP/DIS008/2026/00008,Ganesh Khan,Male,28,9876110008,"Chitradurga Traffic PS Sector 4, Chitradurga",IT Software Engineer,Minor Contusion,Statement of Ganesh Khan recorded regarding Burglary.,victim.8@ksp-citizen.in,Mild,MR8,Chitradurga District General Hospital,Safe & Recovered,9876210008,Aadhaar-4008-1008
VIC00009,KSP/DIS009/2026/00009,Meena Mehta,Female,29,9876110009,"Davanagere Town PS Sector 5, Davanagere",Business Owner,Minor Contusion,Statement of Meena Mehta recorded regarding Robbery.,victim.9@ksp-citizen.in,Mild,MR9,Davanagere District General Hospital,Safe & Recovered,9876210009,Aadhaar-4009-1009
VIC00010,KSP/DIS010/2026/00010,Niranjan Kulkarni,Male,30,9876110010,"Mysuru Central PS Sector 1, Mysuru",IT Software Engineer,Minor Contusion,Statement of Niranjan Kulkarni recorded regarding Chain Snatching.,victim.10@ksp-citizen.in,Mild,MR10,Mysuru District General Hospital,Safe & Recovered,9876210010,Aadhaar-4010-1010
