AccusedID,CaseID,AccusedName,Gender,Age,Address,Occupation,ArrestStatus,CriminalHistory,Mobile,Email,Nationality,IDProof,ArrestDate,BailStatus,CustodyStatus,FingerprintID,Photograph,Remarks
ACC001,KSP/DIS001/2026/0001,Suspect 2 (Bengaluru Urban),Male,22,Bengaluru Urban Area,Unemployed,Arrested,Yes,9876401002,accused.2@email.com,Indian,Aadhaar,2026-02-15,Bail Rejected,Judicial Custody,FP2,acc2.jpg,Linked to Murder in Bengaluru Urban
ACC002,KSP/DIS001/2026/0002,Suspect 3 (Bengaluru Urban),Male,27,Bengaluru Urban Area,Unemployed,Under Investigation,None,9876401003,accused.3@email.com,Indian,Aadhaar,2026-03-15,Not Applied,Not in Custody,FP3,acc3.jpg,Linked to Attempt to Murder in Bengaluru Urban
ACC003,KSP/DIS001/2026/0003,Suspect 4 (Bengaluru Urban),Male,32,Bengaluru Urban Area,Unemployed,Arrested,None,9876401004,accused.4@email.com,Indian,Aadhaar,2026-04-15,Bail Rejected,Judicial Custody,FP4,acc4.jpg,Linked to Cyber Crime in Bengaluru Urban
ACC004,KSP/DIS001/2026/0004,Suspect 5 (Bengaluru Urban),Male,37,Bengaluru Urban Area,Unemployed,Under Investigation,Yes,9876401005,accused.5@email.com,Indian,Aadhaar,2026-05-15,Not Applied,Not in Custody,FP5,acc5.jpg,Linked to Theft in Bengaluru Urban
ACC005,KSP/DIS002/2026/0005,Suspect 6 (Mysuru),Male,22,Mysuru Area,Unemployed,Arrested,Yes,9876401006,accused.6@email.com,Indian,Aadhaar,2026-06-15,Bail Rejected,Judicial Custody,FP6,acc6.jpg,Linked to Burglary in Mysuru
ACC006,KSP/DIS002/2026/0006,Suspect 7 (Mysuru),Male,27,Mysuru Area,Unemployed,Under Investigation,None,9876401007,accused.7@email.com,Indian,Aadhaar,2026-01-15,Not Applied,Not in Custody,FP7,acc7.jpg,Linked to Narcotics Offence in Mysuru
ACC007,KSP/DIS002/2026/0007,Suspect 8 (Mysuru),Male,32,Mysuru Area,Unemployed,Arrested,None,9876401008,accused.8@email.com,Indian,Aadhaar,2026-02-15,Bail Rejected,Judicial Custody,FP8,acc8.jpg,Linked to Domestic Violence in Mysuru
ACC008,KSP/DIS002/2026/0008,Suspect 9 (Mysuru),Male,37,Mysuru Area,Unemployed,Under Investigation,Yes,9876401009,accused.9@email.com,Indian,Aadhaar,2026-03-15,Not Applied,Not in Custody,FP9,acc9.jpg,Linked to Kidnapping in Mysuru
ACC009,KSP/DIS003/2026/0009,Suspect 10 (Mangaluru),Male,22,Mangaluru Area,Unemployed,Arrested,Yes,9876401010,accused.10@email.com,Indian,Aadhaar,2026-04-15,Bail Rejected,Judicial Custody,FP10,acc10.jpg,Linked to Murder in Mangaluru
ACC010,KSP/DIS003/2026/0010,Suspect 11 (Mangaluru),Male,27,Mangaluru Area,Unemployed,Under Investigation,None,9876401011,accused.11@email.com,Indian,Aadhaar,2026-05-15,Not Applied,Not in Custody,FP11,acc11.jpg,Linked to Attempt to Murder in Mangaluru
ACC011,KSP/DIS003/2026/0011,Suspect 12 (Mangaluru),Male,32,Mangaluru Area,Unemployed,Arrested,None,9876401012,accused.12@email.com,Indian,Aadhaar,2026-06-15,Bail Rejected,Judicial Custody,FP12,acc12.jpg,Linked to Cyber Crime in Mangaluru
