OfficerID,CaseID,OfficerName,Rank,PoliceStation,Contact,RankID,DesignationID,UnitID,DistrictID,StateID,Email,Status,JoiningDate
OFF001,CASE00001,Rajesh Kumar,Circle Inspector,Cubbon Park Police Station,948080000,R007,DES001,U001,DIS001,ST001,rajesh.kumar@ksp.gov.in,Active,2018-06-15
OFF002,CASE00002,Priya Sharma,Police Sub-Inspector,Whitefield Police Station,948080001,R008,DES002,U002,DIS001,ST001,priya.sharma@ksp.gov.in,Active,2018-06-15
OFF003,CASE00003,Manjunath Hegde,Circle Inspector,Indiranagar Police Station,948080002,R007,DES001,U003,DIS001,ST001,manjunath.hegde@ksp.gov.in,Active,2018-06-15
OFF004,CASE00004,Anita Rao,Deputy Superintendent of Police,Electronic City Police Station,948080003,R006,DES005,U004,DIS001,ST001,anita.rao@ksp.gov.in,Active,2018-06-15
OFF005,CASE00005,Suresh Patil,Circle Inspector,Jayanagar Police Station,948080004,R007,DES001,U005,DIS001,ST001,suresh.patil@ksp.gov.in,Active,2018-06-15
OFF008,CASE00006,Ramesh Kulkarni,Inspector General of Police,Cubbon Park Police Station,948080005,R002,DES005,U001,DIS001,ST001,ramesh.kulkarni@ksp.gov.in,Active,2018-06-15
OFF011,CASE00007,Bengaluru Urban Officer 1,Superintendent of Police,Bengaluru Urban Town PS,948080006,R005,DES005,U001,DIS001,ST001,officer.off011@ksp.gov.in,Active,2018-06-15
OFF012,CASE00008,Bengaluru Urban Officer 2,Deputy Superintendent of Police,Bengaluru Urban Central PS,948080007,R006,DES005,U002,DIS001,ST001,officer.off012@ksp.gov.in,Active,2018-06-15
OFF013,CASE00009,Bengaluru Urban Officer 3,Circle Inspector,Bengaluru Urban Cyber Crime PS,948080008,R007,DES001,U003,DIS001,ST001,officer.off013@ksp.gov.in,Active,2018-06-15
OFF014,CASE00010,Bengaluru Urban Officer 4,Police Sub-Inspector,Bengaluru Urban Traffic PS,948080009,R008,DES002,U004,DIS001,ST001,officer.off014@ksp.gov.in,Active,2018-06-15
OFF015,CASE00011,Bengaluru Urban Officer 5,Assistant Sub-Inspector,Cubbon Park Police Station,948080010,R009,DES003,U005,DIS001,ST001,officer.off015@ksp.gov.in,Active,2018-06-15
OFF016,CASE00012,Bengaluru Urban Officer 6,Head Constable,Whitefield Police Station,948080011,R010,DES009,U006,DIS001,ST001,officer.off016@ksp.gov.in,Active,2018-06-15
OFF017,CASE00013,Bengaluru Urban Officer 7,Police Constable,Indiranagar Police Station,948080012,R010,DES009,U007,DIS001,ST001,officer.off017@ksp.gov.in,Active,2018-06-15
OFF018,CASE00014,Bengaluru Urban Officer 8,CID Officer,Electronic City Police Station,948080013,R004,DES004,U008,DIS001,ST001,officer.off018@ksp.gov.in,Active,2018-06-15
OFF019,CASE00015,Bengaluru Urban Officer 9,Crime Branch Specialist,Jayanagar Police Station,948080014,R006,DES007,U009,DIS001,ST001,officer.off019@ksp.gov.in,Active,2018-06-15
OFF020,CASE00016,Bengaluru Urban Officer 10,Superintendent of Police,Bengaluru Urban Town PS,948080015,R005,DES005,U001,DIS001,ST001,officer.off020@ksp.gov.in,Active,2018-06-15
OFF021,CASE00017,Bengaluru Urban Officer 11,Deputy Superintendent of Police,Bengaluru Urban Central PS,948080016,R006,DES005,U002,DIS001,ST001,officer.off021@ksp.gov.in,Active,2018-06-15
OFF022,CASE00018,Bengaluru Urban Officer 12,Circle Inspector,Bengaluru Urban Cyber Crime PS,948080017,R007,DES001,U003,DIS001,ST001,officer.off022@ksp.gov.in,Active,2018-06-15
OFF023,CASE00019,Bengaluru Urban Officer 13,Police Sub-Inspector,Bengaluru Urban Traffic PS,948080018,R008,DES002,U004,DIS001,ST001,officer.off023@ksp.gov.in,Active,2018-06-15
OFF024,CASE00020,Bengaluru Urban Officer 14,Assistant Sub-Inspector,Cubbon Park Police Station,948080019,R009,DES003,U005,DIS001,ST001,officer.off024@ksp.gov.in,Active,2018-06-15
OFF025,CASE00021,Bengaluru Urban Officer 15,Head Constable,Whitefield Police Station,948080020,R010,DES009,U006,DIS001,ST001,officer.off025@ksp.gov.in,Active,2018-06-15
