WitnessID,CaseID,WitnessName,Gender,Age,Mobile,Address,Statement,Email,Occupation,RelationshipToCase,WitnessType,IDProof,AvailabilityStatus
WIT001,KSP/DIS001/2026/0001,Witness 2 (Bengaluru Urban),Female,30,9876301002,Bengaluru Urban Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.2@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT002,KSP/DIS001/2026/0002,Witness 3 (Bengaluru Urban),Male,34,9876301003,Bengaluru Urban Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.3@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT003,KSP/DIS001/2026/0003,Witness 4 (Bengaluru Urban),Female,38,9876301004,Bengaluru Urban Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.4@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT004,KSP/DIS001/2026/0004,Witness 5 (Bengaluru Urban),Male,42,9876301005,Bengaluru Urban Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.5@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT005,KSP/DIS002/2026/0005,Witness 6 (Mysuru),Female,30,9876301006,Mysuru Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.6@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT006,KSP/DIS002/2026/0006,Witness 7 (Mysuru),Male,34,9876301007,Mysuru Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.7@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT007,KSP/DIS002/2026/0007,Witness 8 (Mysuru),Female,38,9876301008,Mysuru Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.8@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT008,KSP/DIS002/2026/0008,Witness 9 (Mysuru),Male,42,9876301009,Mysuru Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.9@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT009,KSP/DIS003/2026/0009,Witness 10 (Mangaluru),Female,30,9876301010,Mangaluru Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.10@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT010,KSP/DIS003/2026/0010,Witness 11 (Mangaluru),Male,34,9876301011,Mangaluru Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.11@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT011,KSP/DIS003/2026/0011,Witness 12 (Mangaluru),Female,38,9876301012,Mangaluru Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.12@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT012,KSP/DIS003/2026/0012,Witness 13 (Mangaluru),Male,42,9876301013,Mangaluru Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.13@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT013,KSP/DIS004/2026/0013,Witness 14 (Belagavi),Female,30,9876301014,Belagavi Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.14@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT014,KSP/DIS004/2026/0014,Witness 15 (Belagavi),Male,34,9876301015,Belagavi Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.15@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT015,KSP/DIS004/2026/0015,Witness 16 (Belagavi),Female,38,9876301016,Belagavi Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.16@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT016,KSP/DIS004/2026/0016,Witness 17 (Belagavi),Male,42,9876301017,Belagavi Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.17@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT017,KSP/DIS005/2026/0017,Witness 18 (Hubballi-Dharwad),Female,30,9876301018,Hubballi-Dharwad Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.18@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT018,KSP/DIS005/2026/0018,Witness 19 (Hubballi-Dharwad),Male,34,9876301019,Hubballi-Dharwad Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.19@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT019,KSP/DIS005/2026/0019,Witness 20 (Hubballi-Dharwad),Female,38,9876301020,Hubballi-Dharwad Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.20@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT020,KSP/DIS005/2026/0020,Witness 21 (Hubballi-Dharwad),Male,42,9876301021,Hubballi-Dharwad Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.21@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT021,KSP/DIS006/2026/0021,Witness 22 (Shivamogga),Female,30,9876301022,Shivamogga Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.22@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT022,KSP/DIS006/2026/0022,Witness 23 (Shivamogga),Male,34,9876301023,Shivamogga Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.23@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT023,KSP/DIS006/2026/0023,Witness 24 (Shivamogga),Female,38,9876301024,Shivamogga Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.24@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT024,KSP/DIS006/2026/0024,Witness 25 (Shivamogga),Male,42,9876301025,Shivamogga Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.25@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT025,KSP/DIS007/2026/0025,Witness 26 (Davanagere),Female,30,9876301026,Davanagere Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.26@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT026,KSP/DIS007/2026/0026,Witness 27 (Davanagere),Male,34,9876301027,Davanagere Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.27@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT027,KSP/DIS007/2026/0027,Witness 28 (Davanagere),Female,38,9876301028,Davanagere Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.28@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT028,KSP/DIS007/2026/0028,Witness 29 (Davanagere),Male,42,9876301029,Davanagere Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.29@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT029,KSP/DIS008/2026/0029,Witness 30 (Ballari),Female,30,9876301030,Ballari Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.30@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT030,KSP/DIS008/2026/0030,Witness 31 (Ballari),Male,34,9876301031,Ballari Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.31@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT031,KSP/DIS008/2026/0031,Witness 32 (Ballari),Female,38,9876301032,Ballari Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.32@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT032,KSP/DIS008/2026/0032,Witness 33 (Ballari),Male,42,9876301033,Ballari Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.33@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
WIT033,KSP/DIS009/2026/0033,Witness 34 (Tumakuru),Female,30,9876301034,Tumakuru Market Area,Eyewitness confirmed presence of suspect near scene of crime.,witness.34@email.com,Shop Owner,Eyewitness,Eyewitness,Aadhaar,Available
